AH 93-K-131/15
1.0000000 0.0006000
0.9915200 0.0009000
0.9793100 0.0017300
0.9635700 0.0032600
0.9456200 0.0054000
0.9267900 0.0079000
0.9076200 0.0106300
0.8887200 0.0133800
0.8704900 0.0161400
0.8549300 0.0188300
0.8399800 0.0234400
0.8231200 0.0293700
0.8058600 0.0350100
0.7878900 0.0409400
0.7696000 0.0468600
0.7511800 0.0526300
0.7328100 0.0581400
0.7144300 0.0633700
0.6960700 0.0682700
0.6777000 0.0728100
0.6592700 0.0769800
0.6407700 0.0807800
0.6221700 0.0842300
0.6034800 0.0873200
0.5847100 0.0900800
0.5658500 0.0925200
0.5469100 0.0946400
0.5279100 0.0964700
0.5088500 0.0980100
0.4897600 0.0992700
0.4706500 0.1002500
0.4515300 0.1009600
0.4323800 0.1013900
0.4132300 0.1015500
0.3940700 0.1014400
0.3749300 0.1010600
0.3558100 0.1004000
0.3367000 0.0994500
0.3176200 0.0982300
0.2985600 0.0967300
0.2795400 0.0949400
0.2605800 0.0928600
0.2416900 0.0904800
0.2229000 0.0877800
0.2042100 0.0847500
0.1856300 0.0813700
0.1671800 0.0776200
0.1489000 0.0734900
0.1308300 0.0689600
0.1130300 0.0639900
0.0955500 0.0585500
0.0785000 0.0526200
0.0621400 0.0462200
0.0468700 0.0393800
0.0333100 0.0323100
0.0222600 0.0255000
0.0141200 0.0194600
0.0084700 0.0143400
0.0046200 0.0100400
0.0020600 0.0063200
0.0005100 0.0030000
0.0000000 -0.0000800
0.0006200 -0.0030500
0.0025000 -0.0059600
0.0056100 -0.0086200
0.0100500 -0.0110600
0.0162200 -0.0132900
0.0249200 -0.0153900
0.0371200 -0.0174200
0.0527900 -0.0193300
0.0705500 -0.0210000
0.0892500 -0.0223700
0.1083800 -0.0234800
0.1277500 -0.0244100
0.1472400 -0.0252100
0.1667900 -0.0258900
0.1863800 -0.0264800
0.2060100 -0.0269700
0.2256700 -0.0274000
0.2453700 -0.0277600
0.2650900 -0.0280700
0.2848300 -0.0283500
0.3045900 -0.0285900
0.3243400 -0.0288100
0.3441000 -0.0289900
0.3638600 -0.0291500
0.3836300 -0.0292800
0.4034000 -0.0293700
0.4231800 -0.0294500
0.4429600 -0.0295100
0.4627300 -0.0295500
0.4824900 -0.0295600
0.5022400 -0.0295400
0.5219600 -0.0294700
0.5416800 -0.0293600
0.5614000 -0.0292000
0.5811300 -0.0290000
0.6008700 -0.0287600
0.6205900 -0.0284900
0.6402700 -0.0281600
0.6599500 -0.0277600
0.6796200 -0.0273000
0.6992800 -0.0267900
0.7189300 -0.0262000
0.7385400 -0.0255300
0.7581500 -0.0247800
0.7777500 -0.0239400
0.7973400 -0.0230100
0.8169100 -0.0220000
0.8363900 -0.0208800
0.8557700 -0.0196300
0.8750600 -0.0181900
0.8942200 -0.0165600
0.9130900 -0.0147000
0.9314300 -0.0124900
0.9491500 -0.0097500
0.9662000 -0.0065500
0.9810000 -0.0037200
0.9919200 -0.0014400
1.0000000 -0.0000900
