E201  (11.88%)
1.0000000 0.0000000
0.9965300 0.0005800
0.9865000 0.0025000
0.9706900 0.0058900
0.9497700 0.0104200
0.9240600 0.0156500
0.8936900 0.0214100
0.8589900 0.0277100
0.8204800 0.0345400
0.7787100 0.0417600
0.7342700 0.0492300
0.6877700 0.0567700
0.6398400 0.0641900
0.5911000 0.0712200
0.5422200 0.0775400
0.4936500 0.0827100
0.4457200 0.0864400
0.3987000 0.0885500
0.3528500 0.0889500
0.3084300 0.0876400
0.2656500 0.0847100
0.2248400 0.0804200
0.1864200 0.0749600
0.1507800 0.0684700
0.1182800 0.0611200
0.0892500 0.0530500
0.0639600 0.0444300
0.0426400 0.0354500
0.0254700 0.0263200
0.0125800 0.0173100
0.0040700 0.0087600
0.0001100 0.0012800
0.0018700 -0.0048800
0.0096400 -0.0104600
0.0225800 -0.0157400
0.0405500 -0.0204100
0.0634100 -0.0243700
0.0909700 -0.0275600
0.1229800 -0.0299300
0.1591600 -0.0314900
0.1991500 -0.0322700
0.2425300 -0.0322800
0.2888300 -0.0315700
0.3375300 -0.0301000
0.3882300 -0.0277600
0.4406900 -0.0247100
0.4943900 -0.0213100
0.5486400 -0.0178300
0.6027200 -0.0144400
0.6559100 -0.0112500
0.7074900 -0.0083900
0.7567600 -0.0059100
0.8030500 -0.0038600
0.8457200 -0.0022500
0.8841600 -0.0010700
0.9178200 -0.0002700
0.9462500 0.0002500
0.9691200 0.0005100
0.9860200 0.0004500
0.9964600 0.0001700
1.0000000 0.0000000
