E197  (13.49%)
1.0000000 0.0000000
0.9964200 0.0005000
0.9860400 0.0021900
0.9696000 0.0053000
0.9477800 0.0096100
0.9209600 0.0147800
0.8893900 0.0206900
0.8534900 0.0273300
0.8138400 0.0346700
0.7710500 0.0425400
0.7257500 0.0508000
0.6786000 0.0592100
0.6302800 0.0675300
0.5814600 0.0754300
0.5328200 0.0824700
0.4847500 0.0880800
0.4373500 0.0919300
0.3908500 0.0939600
0.3455100 0.0941500
0.3016000 0.0925200
0.2593300 0.0892000
0.2190300 0.0844400
0.1811200 0.0784600
0.1459900 0.0714200
0.1140200 0.0634800
0.0855100 0.0548100
0.0607500 0.0455900
0.0399600 0.0360300
0.0233500 0.0263600
0.0110400 0.0168600
0.0031800 0.0079200
0.0000000 0.0002300
0.0027900 -0.0063700
0.0116400 -0.0127500
0.0255500 -0.0189100
0.0443800 -0.0245200
0.0679700 -0.0294700
0.0961000 -0.0336600
0.1285200 -0.0370200
0.1649300 -0.0395400
0.2049500 -0.0411800
0.2481800 -0.0419600
0.2941300 -0.0418600
0.3423100 -0.0407800
0.3923600 -0.0385700
0.4441500 -0.0353700
0.4972300 -0.0316200
0.5509100 -0.0276200
0.6044700 -0.0235900
0.6571800 -0.0196700
0.7083400 -0.0159800
0.7572500 -0.0126200
0.8032300 -0.0096500
0.8456400 -0.0071100
0.8838800 -0.0050000
0.9173800 -0.0032700
0.9457200 -0.0018200
0.9686400 -0.0007000
0.9857200 -0.0000800
0.9963700 0.0000400
1.0000000 0.0000000
