E62  (5.62%)
1.0000000 0.0000000
0.9969900 0.0009800
0.9884000 0.0039700
0.9750900 0.0087600
0.9576400 0.0146300
0.9361000 0.0208600
0.9103000 0.0271800
0.8803600 0.0336300
0.8466500 0.0401700
0.8095500 0.0466700
0.7695100 0.0530100
0.7269700 0.0590500
0.6824200 0.0646300
0.6363600 0.0695700
0.5892500 0.0736400
0.5414500 0.0766900
0.4933400 0.0786100
0.4452700 0.0793900
0.3976800 0.0790900
0.3510200 0.0777800
0.3057800 0.0754700
0.2623800 0.0722200
0.2212600 0.0680600
0.1828000 0.0630800
0.1473600 0.0573400
0.1152300 0.0509400
0.0867200 0.0440100
0.0620200 0.0366700
0.0413300 0.0291000
0.0247600 0.0214800
0.0123800 0.0140800
0.0042100 0.0072000
0.0002400 0.0014000
0.0011500 -0.0024000
0.0076200 -0.0044700
0.0197400 -0.0053700
0.0374400 -0.0050200
0.0606800 -0.0035100
0.0893600 -0.0009800
0.1232800 0.0023600
0.1621600 0.0063000
0.2056100 0.0106000
0.2531500 0.0150100
0.3042500 0.0192800
0.3582800 0.0231400
0.4144900 0.0262600
0.4719500 0.0285400
0.5298200 0.0299600
0.5873300 0.0305600
0.6437100 0.0303200
0.6982300 0.0292900
0.7501600 0.0275000
0.7987900 0.0250400
0.8434700 0.0219800
0.8835700 0.0184700
0.9185400 0.0146200
0.9478500 0.0105900
0.9709200 0.0065600
0.9872500 0.0030800
0.9968500 0.0007800
1.0000000 0.0000000
