S9037 (9%)
1.0000000 0.0000000
0.9991700 0.0000900
0.9967000 0.0004100
0.9926400 0.0009900
0.9870500 0.0018600
0.9799900 0.0030300
0.9715300 0.0044900
0.9617300 0.0062300
0.9506500 0.0082200
0.9383300 0.0104500
0.9248300 0.0128800
0.9101600 0.0155300
0.8944000 0.0183900
0.8776500 0.0214400
0.8599800 0.0246500
0.8414600 0.0279700
0.8221200 0.0313400
0.8019900 0.0347700
0.7811700 0.0382300
0.7597200 0.0416800
0.7376800 0.0450900
0.7150800 0.0484400
0.6920100 0.0517300
0.6685400 0.0549100
0.6447100 0.0579700
0.6205900 0.0608900
0.5962300 0.0636600
0.5717300 0.0662400
0.5471200 0.0686100
0.5224400 0.0707500
0.4977600 0.0726800
0.4731700 0.0743600
0.4486900 0.0757700
0.4243800 0.0769100
0.4003000 0.0777900
0.3765300 0.0783900
0.3531000 0.0787000
0.3300700 0.0787200
0.3075000 0.0784500
0.2854500 0.0778800
0.2639700 0.0769900
0.2430600 0.0758000
0.2228000 0.0743200
0.2032500 0.0725500
0.1844200 0.0704700
0.1663400 0.0681000
0.1490500 0.0654800
0.1326200 0.0626100
0.1170500 0.0594700
0.1023600 0.0561100
0.0885800 0.0525500
0.0757800 0.0488000
0.0639400 0.0448500
0.0530600 0.0407500
0.0431600 0.0365400
0.0342900 0.0322500
0.0264500 0.0278800
0.0195900 0.0234700
0.0137500 0.0191100
0.0089600 0.0148300
0.0052200 0.0106600
0.0024700 0.0066500
0.0007200 0.0029400
0.0000100 -0.0003000
0.0006600 -0.0028100
0.0029800 -0.0048500
0.0068400 -0.0068100
0.0121100 -0.0086300
0.0187400 -0.0102800
0.0267000 -0.0117300
0.0359800 -0.0129900
0.0465700 -0.0140300
0.0584400 -0.0148700
0.0715800 -0.0155100
0.0859500 -0.0159500
0.1015300 -0.0162000
0.1182900 -0.0162700
0.1361800 -0.0161700
0.1551600 -0.0159200
0.1751900 -0.0155200
0.1962100 -0.0150000
0.2181700 -0.0143700
0.2410100 -0.0136500
0.2646600 -0.0128500
0.2890600 -0.0119900
0.3141300 -0.0110900
0.3398000 -0.0101600
0.3659800 -0.0092200
0.3926000 -0.0082800
0.4195700 -0.0073400
0.4468100 -0.0064300
0.4742400 -0.0055300
0.5017600 -0.0046800
0.5293100 -0.0038500
0.5567800 -0.0030800
0.5840900 -0.0023500
0.6111700 -0.0016800
0.6379300 -0.0010600
0.6642700 -0.0005000
0.6901300 0.0000000
0.7154300 0.0004300
0.7400700 0.0008100
0.7639900 0.0011300
0.7871100 0.0014000
0.8093700 0.0016200
0.8307000 0.0017800
0.8510400 0.0018900
0.8703200 0.0019400
0.8884600 0.0019300
0.9054200 0.0018800
0.9211200 0.0018000
0.9355400 0.0016900
0.9486300 0.0015600
0.9603500 0.0014000
0.9706500 0.0012000
0.9794800 0.0009700
0.9867800 0.0007200
0.9925300 0.0004700
0.9966700 0.0002400
0.9991600 0.0000700
1.0000000 0.0000000
