SD6080 (9.2%)
1.0000000 0.0000000
0.9967600 0.0003700
0.9871600 0.0015900
0.9715500 0.0038300
0.9503200 0.0071700
0.9239600 0.0116000
0.8930100 0.0170400
0.8579900 0.0233200
0.8194500 0.0302500
0.7779300 0.0375800
0.7339600 0.0450800
0.6880700 0.0525000
0.6407700 0.0596000
0.5925700 0.0661300
0.5439900 0.0718500
0.4954600 0.0764600
0.4473000 0.0798000
0.3998600 0.0817600
0.3535100 0.0823400
0.3085900 0.0815400
0.2654700 0.0794100
0.2245300 0.0760700
0.1861600 0.0716000
0.1507100 0.0660900
0.1185100 0.0596500
0.0898400 0.0523800
0.0649000 0.0444200
0.0438700 0.0359500
0.0268400 0.0272000
0.0139100 0.0184400
0.0050900 0.0100400
0.0004500 0.0026000
0.0008200 -0.0029600
0.0069200 -0.0071000
0.0186000 -0.0106000
0.0356500 -0.0132200
0.0579600 -0.0149400
0.0853900 -0.0158100
0.1177100 -0.0159200
0.1546200 -0.0153900
0.1957300 -0.0143300
0.2405900 -0.0128500
0.2887000 -0.0110900
0.3394800 -0.0091600
0.3923300 -0.0071700
0.4466200 -0.0051900
0.5016800 -0.0033400
0.5568200 -0.0016600
0.6113600 -0.0002000
0.6646300 0.0009900
0.7159600 0.0018900
0.7647000 0.0025000
0.8102400 0.0028200
0.8520000 0.0028700
0.8894400 0.0026700
0.9220700 0.0022800
0.9494400 0.0017500
0.9712100 0.0011800
0.9870700 0.0006300
0.9967500 0.0001800
1.0000100 0.0000000
