E186  (10.27%)
1.0000000 0.0000000
0.9965400 -0.0002100
0.9861900 -0.0006600
0.9690700 -0.0009100
0.9455200 -0.0005000
0.9161200 0.0008500
0.8815400 0.0032200
0.8423900 0.0066300
0.7993600 0.0110400
0.7531400 0.0163700
0.7044700 0.0224900
0.6541200 0.0292200
0.6028300 0.0363100
0.5513800 0.0434600
0.5005200 0.0502200
0.4507300 0.0560000
0.4022400 0.0604200
0.3552900 0.0632700
0.3100700 0.0644500
0.2667700 0.0639600
0.2255800 0.0619200
0.1867800 0.0586100
0.1507900 0.0542400
0.1180000 0.0489500
0.0887400 0.0428900
0.0633000 0.0362000
0.0419100 0.0290400
0.0247500 0.0215900
0.0119600 0.0141100
0.0036700 0.0069400
0.0000400 0.0007000
0.0022500 -0.0046800
0.0104600 -0.0100200
0.0237000 -0.0153000
0.0418700 -0.0201800
0.0648400 -0.0245500
0.0924400 -0.0283300
0.1244400 -0.0314900
0.1605400 -0.0340400
0.2004000 -0.0359700
0.2436000 -0.0373200
0.2896800 -0.0381200
0.3381500 -0.0383900
0.3884700 -0.0381900
0.4400700 -0.0375400
0.4923900 -0.0364900
0.5448300 -0.0350700
0.5968100 -0.0333200
0.6477300 -0.0312700
0.6970200 -0.0289600
0.7441400 -0.0264300
0.7885400 -0.0237200
0.8297200 -0.0208800
0.8672300 -0.0179300
0.9006200 -0.0149300
0.9295200 -0.0119000
0.9535700 -0.0088100
0.9727500 -0.0055500
0.9872500 -0.0025500
0.9966700 -0.0006100
1.0000000 0.0000000
