SD7080 (9.2%)
1.0000000 0.0000000
0.9967100 0.0003700
0.9870100 0.0016200
0.9713300 0.0039500
0.9501800 0.0074300
0.9241300 0.0119500
0.8937200 0.0172800
0.8594300 0.0231300
0.8216900 0.0291900
0.7808400 0.0351900
0.7372000 0.0409700
0.6911700 0.0464700
0.6432600 0.0516300
0.5940200 0.0563500
0.5439900 0.0605200
0.4937100 0.0640400
0.4437000 0.0668000
0.3944800 0.0687100
0.3465600 0.0696900
0.3004000 0.0696600
0.2564400 0.0685800
0.2150900 0.0664100
0.1767000 0.0631200
0.1415700 0.0587500
0.1099600 0.0533400
0.0821000 0.0469900
0.0581400 0.0398300
0.0382100 0.0320300
0.0223700 0.0238300
0.0106800 0.0155800
0.0032200 0.0076300
0.0000300 0.0006100
0.0021600 -0.0049200
0.0101600 -0.0094800
0.0234700 -0.0135400
0.0419800 -0.0169400
0.0654900 -0.0196200
0.0938300 -0.0215600
0.1267600 -0.0227900
0.1639700 -0.0233700
0.2050800 -0.0233800
0.2496200 -0.0228900
0.2971000 -0.0219400
0.3470000 -0.0205900
0.3987700 -0.0189100
0.4518300 -0.0169600
0.5055900 -0.0148000
0.5594500 -0.0125000
0.6128100 -0.0101500
0.6650500 -0.0078300
0.7155700 -0.0056400
0.7637600 -0.0036600
0.8090000 -0.0020100
0.8506800 -0.0007200
0.8882000 0.0001700
0.9210400 0.0006900
0.9487100 0.0008700
0.9707900 0.0007600
0.9868900 0.0004700
0.9967100 0.0001500
1.0000100 -0.0000000
