S8037 (16%)
1.0000000 0.0000000
0.9975800 0.0004300
0.9908900 0.0020500
0.9808400 0.0047800
0.9678200 0.0081400
0.9517100 0.0117800
0.9324400 0.0158000
0.9101900 0.0203400
0.8852000 0.0254300
0.8577600 0.0310500
0.8281300 0.0371600
0.7966200 0.0437000
0.7635200 0.0505900
0.7291300 0.0577200
0.6937800 0.0649600
0.6577600 0.0721600
0.6214000 0.0791100
0.5848800 0.0855000
0.5482800 0.0911600
0.5117500 0.0960700
0.4754400 0.1000700
0.4394100 0.1030900
0.4038900 0.1051500
0.3689700 0.1061800
0.3347300 0.1062300
0.3013800 0.1053300
0.2690700 0.1034900
0.2379500 0.1007900
0.2082000 0.0972600
0.1799700 0.0929500
0.1534400 0.0879000
0.1287300 0.0821400
0.1059400 0.0757400
0.0852200 0.0687500
0.0666200 0.0612100
0.0502000 0.0532700
0.0360500 0.0449700
0.0241800 0.0364400
0.0147000 0.0278700
0.0076100 0.0192900
0.0027700 0.0109000
0.0002300 0.0031000
0.0002600 -0.0034100
0.0038100 -0.0089300
0.0111300 -0.0142500
0.0215800 -0.0194100
0.0349400 -0.0243400
0.0511600 -0.0289300
0.0701800 -0.0331900
0.0918200 -0.0371100
0.1159600 -0.0406400
0.1424500 -0.0438100
0.1710900 -0.0465900
0.2016900 -0.0489700
0.2340300 -0.0509100
0.2679400 -0.0523700
0.3032000 -0.0533400
0.3395900 -0.0537800
0.3769300 -0.0536600
0.4150100 -0.0530100
0.4536200 -0.0517700
0.4926200 -0.0499700
0.5317300 -0.0476500
0.5708400 -0.0448000
0.6098500 -0.0415500
0.6484600 -0.0380900
0.6864000 -0.0345000
0.7233900 -0.0308900
0.7591400 -0.0273300
0.7933600 -0.0239000
0.8257700 -0.0206400
0.8560900 -0.0175900
0.8840500 -0.0147800
0.9093900 -0.0122200
0.9318800 -0.0098700
0.9512900 -0.0076900
0.9674700 -0.0055200
0.9805900 -0.0032700
0.9907600 -0.0013400
0.9975500 -0.0002300
1.0000000 0.0000000
