AG44ct -02f
1.0000000 0.0002670
0.9942810 0.0008790
0.9826760 0.0021500
0.9694700 0.0035650
0.9559400 0.0049920
0.9423200 0.0063980
0.9286540 0.0077950
0.9149560 0.0091780
0.9012090 0.0105350
0.8874360 0.0118740
0.8736330 0.0131960
0.8598060 0.0144910
0.8459700 0.0157680
0.8321120 0.0170310
0.8182400 0.0182730
0.8043600 0.0194910
0.7904810 0.0206880
0.7765910 0.0218640
0.7627000 0.0230120
0.7488090 0.0241410
0.7349180 0.0252410
0.7210290 0.0263180
0.7100130 0.0271530
0.7053170 0.0275030
0.7029700 0.0276760
0.7000660 0.0279930
0.6945170 0.0285950
0.6802990 0.0301100
0.6661020 0.0315980
0.6588030 0.0323500
0.6484610 0.0334030
0.6377730 0.0344750
0.6236470 0.0358610
0.6117080 0.0370090
0.5954950 0.0385290
0.5815000 0.0398040
0.5675400 0.0410380
0.5564560 0.0419950
0.5474990 0.0427460
0.5394760 0.0434050
0.5255830 0.0445130
0.5117130 0.0455720
0.4978280 0.0465870
0.4839280 0.0475560
0.4700180 0.0484770
0.4561030 0.0493510
0.4421530 0.0501760
0.4281840 0.0509500
0.4141860 0.0516710
0.4001620 0.0523400
0.3861280 0.0529490
0.3720970 0.0535000
0.3580760 0.0539870
0.3440660 0.0544100
0.3300810 0.0547610
0.3161280 0.0550410
0.3022040 0.0552420
0.2883190 0.0553610
0.2744690 0.0553940
0.2606410 0.0553320
0.2468390 0.0551700
0.2330520 0.0548990
0.2192710 0.0545080
0.2055170 0.0539890
0.1917960 0.0533280
0.1781030 0.0525120
0.1644660 0.0515280
0.1508780 0.0503550
0.1373620 0.0489750
0.1239320 0.0473670
0.1106030 0.0455010
0.0974210 0.0433520
0.0844060 0.0408820
0.0716260 0.0380570
0.0591360 0.0348220
0.0470690 0.0311350
0.0356220 0.0269720
0.0251850 0.0223850
0.0164390 0.0176630
0.0100360 0.0133550
0.0058520 0.0098200
0.0032170 0.0069950
0.0015620 0.0046820
0.0005760 0.0027240
0.0000970 0.0010650
0.0000100 -0.0003220
0.0002740 -0.0016260
0.0010490 -0.0030040
0.0025440 -0.0043750
0.0048360 -0.0057520
0.0082190 -0.0072450
0.0133540 -0.0089470
0.0210690 -0.0108540
0.0313050 -0.0127140
0.0431260 -0.0142930
0.0557410 -0.0155400
0.0687380 -0.0164920
0.0819660 -0.0172140
0.0953440 -0.0177570
0.1088250 -0.0181490
0.1223840 -0.0184160
0.1360030 -0.0185790
0.1496690 -0.0186530
0.1633670 -0.0186580
0.1771020 -0.0186060
0.1908590 -0.0185050
0.2046430 -0.0183630
0.2184590 -0.0181850
0.2322950 -0.0179770
0.2461510 -0.0177430
0.2600370 -0.0174860
0.2739490 -0.0172080
0.2878880 -0.0169100
0.3018510 -0.0165980
0.3158370 -0.0162680
0.3298340 -0.0159240
0.3438480 -0.0155670
0.3578720 -0.0151990
0.3719050 -0.0148220
0.3859730 -0.0144340
0.4000910 -0.0140390
0.4142390 -0.0136360
0.4284060 -0.0132260
0.4425670 -0.0128120
0.4567330 -0.0123940
0.4708890 -0.0119740
0.4850270 -0.0115510
0.4991460 -0.0111280
0.5132440 -0.0107060
0.5273060 -0.0102850
0.5413440 -0.0098660
0.5489160 -0.0096410
0.5585190 -0.0093560
0.5688150 -0.0090520
0.5822180 -0.0086600
0.5955910 -0.0082710
0.6019180 -0.0080880
0.6091690 -0.0078810
0.6227610 -0.0074960
0.6363370 -0.0071180
0.6462350 -0.0068450
0.6553330 -0.0065990
0.6636190 -0.0063750
0.6772700 -0.0060140
0.6909330 -0.0056620
0.6970660 -0.0055060
0.7004470 -0.0054220
0.7063370 -0.0052750
0.7186250 -0.0049750
0.7325380 -0.0046430
0.7464580 -0.0043230
0.7603760 -0.0040150
0.7743090 -0.0037180
0.7882130 -0.0034340
0.8020870 -0.0031630
0.8159690 -0.0029060
0.8298250 -0.0026630
0.8437050 -0.0024310
0.8575690 -0.0022060
0.8714110 -0.0019860
0.8852530 -0.0017750
0.8991290 -0.0015680
0.9129610 -0.0013700
0.9268240 -0.0011770
0.9406870 -0.0009910
0.9545620 -0.0008110
0.9684230 -0.0006380
0.9820340 -0.0004740
0.9940420 -0.0003350
1.0000000 -0.0002670
