SD2083 (9.0%)
1.0000000 0.0000000
0.9966900 0.0003500
0.9868600 0.0015200
0.9708900 0.0037400
0.9492900 0.0071600
0.9226500 0.0117600
0.8915800 0.0174100
0.8566600 0.0238400
0.8184600 0.0307800
0.7774500 0.0379100
0.7341200 0.0448900
0.6888600 0.0514600
0.6420800 0.0573700
0.5941500 0.0624300
0.5454600 0.0665500
0.4964500 0.0696400
0.4475500 0.0716200
0.3991300 0.0725100
0.3516800 0.0723600
0.3056800 0.0712100
0.2616000 0.0690800
0.2199000 0.0660100
0.1810100 0.0620300
0.1453200 0.0571800
0.1131300 0.0514300
0.0846400 0.0448900
0.0600400 0.0377200
0.0395200 0.0301000
0.0231900 0.0222400
0.0111300 0.0144000
0.0033800 0.0069800
0.0000300 0.0006000
0.0022000 -0.0043700
0.0103200 -0.0085300
0.0236900 -0.0121300
0.0423400 -0.0149100
0.0662400 -0.0169600
0.0951500 -0.0184400
0.1286800 -0.0193700
0.1664900 -0.0197700
0.2081800 -0.0197000
0.2533100 -0.0192100
0.3013700 -0.0183700
0.3518200 -0.0172500
0.4040600 -0.0159200
0.4575000 -0.0143900
0.5115700 -0.0127400
0.5656300 -0.0110500
0.6190500 -0.0093900
0.6711700 -0.0078200
0.7213600 -0.0063700
0.7690100 -0.0050900
0.8135000 -0.0039700
0.8542800 -0.0030400
0.8908400 -0.0022600
0.9227000 -0.0015700
0.9495500 -0.0009400
0.9710800 -0.0004400
0.9869300 -0.0001500
0.9967000 -0.0000400
1.0000100 -0.0000000
