AH 80-136
1.0000000 0.0014600
0.9989300 0.0014600
0.9957200 0.0014400
0.9903900 0.0012300
0.9829600 0.0009800
0.9734700 0.0008300
0.9619400 0.0009600
0.9484400 0.0014600
0.9330100 0.0023200
0.9157300 0.0035500
0.8966800 0.0052500
0.8759200 0.0075700
0.8535500 0.0105800
0.8296700 0.0142900
0.8043800 0.0186800
0.7777900 0.0237400
0.7500000 0.0294800
0.7211400 0.0358800
0.6913400 0.0429000
0.6607200 0.0504200
0.6294100 0.0582300
0.5975500 0.0661600
0.5652600 0.0739800
0.5327000 0.0814100
0.5000000 0.0880200
0.4673000 0.0934400
0.4347400 0.0974900
0.4024500 0.1001700
0.3705900 0.1015600
0.3392800 0.1017700
0.3086600 0.1009300
0.2788600 0.0991800
0.2500000 0.0965900
0.2222100 0.0931600
0.1956200 0.0889000
0.1703300 0.0838800
0.1464500 0.0782400
0.1240800 0.0720400
0.1033200 0.0653600
0.0842700 0.0582900
0.0669900 0.0509700
0.0515600 0.0436100
0.0380600 0.0363500
0.0265300 0.0292900
0.0170400 0.0224300
0.0096100 0.0158300
0.0042800 0.0097200
0.0010700 0.0044100
0.0000000 0.0000000
0.0010700 -0.0037300
0.0042800 -0.0070700
0.0096100 -0.0100800
0.0170400 -0.0127000
0.0265300 -0.0149500
0.0380600 -0.0170300
0.0515600 -0.0191300
0.0669900 -0.0212400
0.0842700 -0.0232600
0.1033200 -0.0251000
0.1240800 -0.0267300
0.1464500 -0.0281700
0.1703300 -0.0294500
0.1956200 -0.0305800
0.2222100 -0.0315500
0.2500000 -0.0323300
0.2788600 -0.0329500
0.3086600 -0.0334200
0.3392800 -0.0337200
0.3705900 -0.0338200
0.4024500 -0.0336500
0.4347400 -0.0331800
0.4673000 -0.0324100
0.5000000 -0.0313600
0.5327000 -0.0301300
0.5652600 -0.0288500
0.5975500 -0.0275600
0.6294100 -0.0262500
0.6607200 -0.0249100
0.6913400 -0.0235300
0.7211400 -0.0220500
0.7500000 -0.0204300
0.7777900 -0.0186500
0.8043800 -0.0168200
0.8296700 -0.0150400
0.8535500 -0.0133400
0.8759200 -0.0116800
0.8966800 -0.0099900
0.9157300 -0.0082800
0.9330100 -0.0066600
0.9484400 -0.0052400
0.9619400 -0.0040200
0.9734700 -0.0029600
0.9829600 -0.0020100
0.9903900 -0.0012300
0.9957200 -0.0006100
0.9989300 -0.0004900
1.0000000 -0.0002900
