E203  (13.64%)
1.0000000 0.0000000
0.9964500 0.0006600
0.9862500 0.0028200
0.9703000 0.0066000
0.9493200 0.0115800
0.9236100 0.0172300
0.8932500 0.0233300
0.8585400 0.0299500
0.8200000 0.0370500
0.7781900 0.0445000
0.7336900 0.0521700
0.6871200 0.0598800
0.6391000 0.0674100
0.5902800 0.0745200
0.5413000 0.0808700
0.4926400 0.0860400
0.4446000 0.0897300
0.3974800 0.0917500
0.3515400 0.0920300
0.3070400 0.0905500
0.2641900 0.0874200
0.2233200 0.0828900
0.1848600 0.0771700
0.1492000 0.0703900
0.1167100 0.0627100
0.0877200 0.0543000
0.0625000 0.0453200
0.0412800 0.0359700
0.0242700 0.0264800
0.0116100 0.0171000
0.0034400 0.0082300
0.0000200 0.0005100
0.0025800 -0.0062500
0.0111500 -0.0129600
0.0247100 -0.0195300
0.0431100 -0.0256400
0.0661600 -0.0311300
0.0936600 -0.0358800
0.1253400 -0.0397900
0.1609100 -0.0428100
0.1999900 -0.0448900
0.2421900 -0.0459700
0.2870200 -0.0460200
0.3339800 -0.0448300
0.3828600 -0.0421000
0.4337900 -0.0379900
0.4864300 -0.0331400
0.5400700 -0.0280100
0.5939500 -0.0228900
0.6473000 -0.0179900
0.6993700 -0.0135000
0.7494000 -0.0095400
0.7966500 -0.0062000
0.8404300 -0.0035300
0.8800500 -0.0015600
0.9148900 -0.0002400
0.9444100 0.0005100
0.9681300 0.0007600
0.9856100 0.0006000
0.9963600 0.0002100
1.0000000 0.0000000
