E63  (4.25%)
1.0000000 0.0000000
0.9971900 0.0012100
0.9893800 0.0047300
0.9775100 0.0098600
0.9617300 0.0155300
0.9416400 0.0212600
0.9171700 0.0270900
0.8886100 0.0330100
0.8562400 0.0388500
0.8203900 0.0445100
0.7814100 0.0498500
0.7396800 0.0548000
0.6956200 0.0592100
0.6496700 0.0630400
0.6022900 0.0661700
0.5539400 0.0685700
0.5050900 0.0701600
0.4562400 0.0709400
0.4078600 0.0708400
0.3604300 0.0699000
0.3144100 0.0680900
0.2702600 0.0654500
0.2284000 0.0619800
0.1892000 0.0577500
0.1530400 0.0528000
0.1202300 0.0472300
0.0910300 0.0411100
0.0656800 0.0345700
0.0443500 0.0277500
0.0271400 0.0208300
0.0141600 0.0140400
0.0053600 0.0076600
0.0007600 0.0021800
0.0005500 -0.0014100
0.0055700 -0.0030600
0.0165100 -0.0033000
0.0331600 -0.0022700
0.0555000 -0.0000400
0.0834200 0.0031500
0.1167100 0.0070800
0.1550400 0.0115100
0.1980000 0.0162000
0.2450900 0.0209300
0.2957400 0.0254600
0.3493100 0.0296200
0.4051300 0.0331900
0.4624700 0.0360500
0.5205600 0.0380300
0.5785900 0.0390700
0.6357600 0.0390700
0.6912500 0.0380600
0.7443000 0.0360400
0.7941400 0.0331000
0.8400400 0.0293000
0.8813200 0.0248200
0.9173500 0.0197900
0.9475600 0.0143900
0.9711500 0.0088700
0.9875400 0.0041000
0.9969500 0.0010200
1.0000000 0.0000000
