AH 93-157
1.0000000 -0.0022100
0.9912400 0.0001800
0.9785900 0.0032600
0.9618000 0.0071100
0.9430200 0.0114900
0.9237100 0.0161200
0.9043000 0.0209200
0.8848600 0.0258400
0.8654000 0.0308900
0.8459200 0.0360600
0.8264100 0.0413400
0.8068600 0.0467200
0.7872500 0.0521800
0.7675800 0.0576900
0.7479700 0.0631800
0.7285500 0.0685600
0.7093200 0.0737400
0.6902500 0.0786900
0.6712800 0.0833600
0.6523600 0.0877300
0.6334500 0.0917900
0.6145200 0.0955300
0.5955600 0.0989400
0.5765300 0.1020400
0.5574600 0.1048000
0.5383100 0.1072500
0.5191200 0.1093800
0.4998700 0.1112000
0.4805800 0.1127100
0.4612600 0.1139100
0.4419100 0.1147900
0.4225600 0.1153800
0.4032000 0.1156500
0.3838600 0.1156100
0.3645300 0.1152500
0.3452300 0.1145800
0.3259800 0.1135800
0.3067900 0.1122600
0.2876600 0.1105900
0.2686300 0.1085800
0.2497300 0.1062100
0.2309800 0.1034700
0.2123700 0.1003300
0.1939500 0.0967900
0.1757300 0.0928300
0.1577700 0.0884200
0.1401100 0.0835600
0.1228100 0.0782300
0.1059500 0.0724100
0.0896000 0.0661200
0.0738800 0.0593400
0.0589400 0.0520700
0.0450100 0.0444000
0.0325600 0.0365600
0.0222300 0.0290600
0.0144300 0.0224400
0.0089300 0.0168800
0.0051400 0.0122300
0.0025600 0.0082400
0.0009200 0.0047000
0.0001000 0.0014700
0.0001000 -0.0015500
0.0009400 -0.0046200
0.0027500 -0.0076500
0.0055700 -0.0105800
0.0095300 -0.0134100
0.0149100 -0.0162100
0.0221900 -0.0190600
0.0320500 -0.0219700
0.0448900 -0.0248600
0.0604200 -0.0275300
0.0777700 -0.0298700
0.0961800 -0.0318500
0.1152100 -0.0335100
0.1346300 -0.0349100
0.1542900 -0.0360900
0.1741300 -0.0371000
0.1941000 -0.0379600
0.2141400 -0.0386900
0.2342600 -0.0393000
0.2544200 -0.0398100
0.2746200 -0.0402200
0.2948600 -0.0405500
0.3151400 -0.0408100
0.3354400 -0.0409900
0.3557700 -0.0411200
0.3761200 -0.0411800
0.3964900 -0.0412000
0.4168700 -0.0411700
0.4372500 -0.0410900
0.4576200 -0.0409700
0.4779900 -0.0408000
0.4983400 -0.0405800
0.5186700 -0.0403000
0.5389700 -0.0399600
0.5592300 -0.0395500
0.5794600 -0.0390600
0.5996500 -0.0384800
0.6197900 -0.0378100
0.6398800 -0.0370300
0.6599100 -0.0361300
0.6798700 -0.0350900
0.6997400 -0.0338900
0.7195200 -0.0325300
0.7391700 -0.0309700
0.7586600 -0.0291900
0.7779500 -0.0271500
0.7970300 -0.0248200
0.8159500 -0.0221300
0.8349100 -0.0190500
0.8541100 -0.0156200
0.8735000 -0.0120100
0.8923200 -0.0086800
0.9104800 -0.0059300
0.9281400 -0.0038500
0.9454100 -0.0025200
0.9622600 -0.0019600
0.9782200 -0.0020600
0.9910500 -0.0022500
1.0000000 -0.0022100
