E176  (8.83%)
1.0000000 0.0000000
0.9967800 0.0003100
0.9872700 0.0013200
0.9717900 0.0032000
0.9507300 0.0059500
0.9244700 0.0095600
0.8934200 0.0139700
0.8580600 0.0191400
0.8189200 0.0249900
0.7765900 0.0314100
0.7316500 0.0382300
0.6847500 0.0452800
0.6365200 0.0523200
0.5876300 0.0591100
0.5387100 0.0652200
0.4901300 0.0702100
0.4421800 0.0738800
0.3951600 0.0760400
0.3493400 0.0766200
0.3049600 0.0756000
0.2622000 0.0731600
0.2214800 0.0695400
0.1832400 0.0648800
0.1478500 0.0593200
0.1156800 0.0529800
0.0870300 0.0459800
0.0621600 0.0384800
0.0412900 0.0306500
0.0245700 0.0226800
0.0121000 0.0148000
0.0039100 0.0073700
0.0001000 0.0010500
0.0017900 -0.0038400
0.0093400 -0.0078200
0.0222000 -0.0111300
0.0403300 -0.0136700
0.0636100 -0.0154000
0.0919000 -0.0163700
0.1249400 -0.0166600
0.1624300 -0.0163500
0.2039600 -0.0155600
0.2491000 -0.0143800
0.2973100 -0.0129200
0.3480500 -0.0112700
0.4007200 -0.0095400
0.4547000 -0.0077900
0.5093100 -0.0061200
0.5639100 -0.0045500
0.6178200 -0.0031500
0.6703900 -0.0019400
0.7209700 -0.0009500
0.7689400 -0.0001900
0.8137100 0.0003500
0.8547200 0.0006700
0.8914500 0.0008000
0.9234300 0.0007700
0.9502400 0.0006500
0.9715700 0.0005000
0.9871800 0.0003200
0.9967600 0.0001100
1.0000000 0.0000000
