AH 93-156
1.0000000 -0.0019700
0.9915700 0.0002500
0.9791500 0.0031800
0.9638300 0.0065100
0.9475600 0.0100500
0.9296100 0.0140600
0.9106600 0.0184900
0.8917600 0.0231700
0.8727500 0.0281000
0.8537200 0.0332500
0.8346100 0.0385800
0.8154100 0.0440700
0.7961200 0.0496800
0.7767500 0.0553400
0.7574200 0.0609700
0.7382000 0.0664900
0.7190700 0.0718800
0.7000500 0.0770700
0.6811200 0.0820200
0.6622800 0.0866900
0.6435200 0.0910300
0.6247700 0.0950100
0.6060100 0.0986200
0.5872000 0.1018600
0.5683200 0.1047400
0.5493600 0.1072600
0.5303200 0.1094300
0.5112000 0.1112600
0.4920200 0.1127600
0.4727700 0.1139400
0.4534700 0.1148200
0.4341300 0.1154000
0.4147700 0.1156800
0.3954000 0.1156800
0.3760300 0.1154000
0.3567000 0.1148200
0.3374300 0.1139400
0.3182200 0.1127400
0.2990900 0.1112200
0.2800400 0.1093500
0.2610800 0.1071200
0.2422200 0.1045200
0.2234600 0.1015500
0.2048300 0.0981800
0.1863600 0.0944100
0.1680900 0.0902200
0.1500500 0.0855900
0.1323100 0.0805000
0.1149300 0.0749200
0.0979700 0.0688300
0.0815300 0.0622100
0.0657800 0.0550600
0.0509700 0.0474200
0.0375300 0.0394900
0.0260900 0.0316600
0.0171600 0.0245000
0.0107300 0.0183700
0.0062800 0.0132700
0.0032600 0.0089800
0.0012900 0.0052600
0.0001900 0.0019600
0.0000600 -0.0011300
0.0008600 -0.0042200
0.0026800 -0.0073500
0.0056100 -0.0103800
0.0097900 -0.0133300
0.0155600 -0.0162700
0.0235400 -0.0192700
0.0344300 -0.0223300
0.0484600 -0.0252900
0.0649300 -0.0279500
0.0828600 -0.0302200
0.1015900 -0.0321100
0.1207700 -0.0336900
0.1402200 -0.0350200
0.1598500 -0.0361500
0.1796100 -0.0371100
0.1994600 -0.0379200
0.2193600 -0.0386100
0.2393200 -0.0391900
0.2593100 -0.0396700
0.2793300 -0.0400600
0.2993800 -0.0403700
0.3194500 -0.0406100
0.3395500 -0.0407800
0.3596700 -0.0408900
0.3798000 -0.0409500
0.3999400 -0.0409500
0.4200900 -0.0409200
0.4402400 -0.0408300
0.4603900 -0.0407000
0.4805400 -0.0405300
0.5006600 -0.0403000
0.5207700 -0.0400200
0.5408500 -0.0396800
0.5609100 -0.0392700
0.5809400 -0.0387800
0.6009400 -0.0382000
0.6209000 -0.0375300
0.6408100 -0.0367500
0.6606700 -0.0358500
0.6804800 -0.0348100
0.7002100 -0.0336200
0.7198700 -0.0322600
0.7394100 -0.0307100
0.7588200 -0.0289300
0.7780500 -0.0269000
0.7971000 -0.0245600
0.8160300 -0.0218700
0.8349600 -0.0188000
0.8540900 -0.0153800
0.8733000 -0.0118000
0.8921200 -0.0084700
0.9103900 -0.0057000
0.9282500 -0.0036000
0.9457400 -0.0022600
0.9626900 -0.0017200
0.9785400 -0.0018300
0.9912700 -0.0020100
1.0000000 -0.0019700
