S7075 (9%)
1.0000000 0.0000000
0.9981100 0.0003000
0.9926200 0.0013000
0.9838400 0.0030100
0.9718900 0.0053200
0.9568900 0.0082500
0.9390600 0.0118300
0.9186500 0.0159900
0.8959000 0.0206400
0.8710500 0.0256500
0.8443500 0.0308400
0.8159000 0.0360300
0.7858500 0.0411400
0.7543800 0.0459600
0.7215200 0.0503900
0.6873600 0.0545200
0.6521300 0.0583300
0.6160500 0.0618100
0.5793600 0.0649200
0.5422800 0.0676200
0.5050200 0.0698800
0.4678200 0.0716500
0.4308600 0.0729000
0.3943600 0.0736200
0.3585300 0.0737700
0.3235500 0.0733400
0.2896100 0.0723200
0.2569000 0.0707200
0.2255600 0.0685400
0.1957800 0.0657900
0.1676900 0.0624900
0.1414300 0.0586800
0.1171400 0.0543800
0.0949000 0.0496300
0.0748500 0.0445100
0.0570400 0.0390600
0.0415500 0.0333600
0.0284600 0.0275100
0.0178300 0.0215800
0.0097400 0.0157200
0.0042600 0.0098300
0.0011200 0.0039600
0.0001200 -0.0012700
0.0020500 -0.0053200
0.0074000 -0.0086100
0.0158600 -0.0115400
0.0273600 -0.0140300
0.0418200 -0.0161600
0.0591500 -0.0178500
0.0792700 -0.0191200
0.1020800 -0.0199700
0.1274600 -0.0204100
0.1552700 -0.0204900
0.1853600 -0.0202200
0.2175600 -0.0196500
0.2516700 -0.0188000
0.2874900 -0.0177400
0.3247800 -0.0164900
0.3633100 -0.0151000
0.4028300 -0.0136000
0.4430600 -0.0120500
0.4837500 -0.0104700
0.5246000 -0.0088900
0.5653400 -0.0073400
0.6056800 -0.0058400
0.6453200 -0.0043800
0.6839700 -0.0029100
0.7214900 -0.0014000
0.7576900 0.0000900
0.7923500 0.0016000
0.8254300 0.0030100
0.8567900 0.0039900
0.8858200 0.0042000
0.9119000 0.0037800
0.9347800 0.0031200
0.9543500 0.0023700
0.9705300 0.0016300
0.9832200 0.0009900
0.9924300 0.0005100
0.9980800 0.0001600
1.0000000 0.0000000
