S9000 (9%)
1.0000000 0.0000000
0.9991700 0.0001100
0.9967100 0.0005000
0.9927000 0.0012100
0.9872300 0.0022500
0.9804000 0.0036100
0.9722900 0.0052300
0.9629400 0.0070500
0.9524000 0.0090000
0.9406500 0.0110300
0.9276800 0.0131400
0.9135200 0.0153600
0.8982200 0.0176800
0.8818400 0.0201000
0.8644300 0.0226100
0.8460600 0.0252000
0.8267700 0.0278500
0.8066400 0.0305600
0.7857400 0.0333100
0.7641200 0.0360800
0.7418500 0.0388500
0.7190200 0.0416000
0.6956600 0.0442800
0.6718500 0.0469100
0.6476500 0.0494600
0.6231300 0.0519100
0.5983600 0.0542200
0.5733800 0.0564100
0.5482800 0.0584500
0.5231200 0.0603300
0.4979600 0.0620200
0.4728600 0.0635100
0.4478800 0.0648100
0.4231100 0.0659000
0.3985900 0.0667400
0.3743600 0.0673500
0.3505000 0.0677200
0.3270900 0.0678500
0.3041500 0.0677100
0.2817300 0.0673000
0.2598900 0.0666500
0.2387100 0.0657300
0.2182000 0.0645400
0.1984100 0.0630800
0.1793900 0.0613800
0.1612000 0.0594200
0.1438600 0.0571900
0.1273800 0.0547200
0.1118000 0.0520400
0.0971900 0.0491300
0.0835500 0.0459900
0.0708700 0.0426500
0.0591900 0.0391600
0.0485600 0.0355300
0.0389600 0.0317400
0.0303900 0.0278500
0.0228700 0.0239200
0.0164300 0.0199700
0.0110800 0.0159700
0.0067500 0.0120200
0.0034500 0.0082000
0.0012300 0.0046300
0.0001300 0.0013600
0.0002000 -0.0013900
0.0020300 -0.0036800
0.0053700 -0.0060000
0.0100600 -0.0082700
0.0160600 -0.0104200
0.0233600 -0.0124300
0.0319400 -0.0143100
0.0417700 -0.0160300
0.0528400 -0.0175800
0.0651200 -0.0189700
0.0785900 -0.0201800
0.0932200 -0.0212200
0.1089600 -0.0220800
0.1258000 -0.0227600
0.1437000 -0.0232600
0.1626000 -0.0236000
0.1824600 -0.0237800
0.2032500 -0.0237900
0.2248900 -0.0236700
0.2473500 -0.0234000
0.2705500 -0.0230100
0.2944500 -0.0224900
0.3189600 -0.0218800
0.3440300 -0.0211700
0.3695800 -0.0203700
0.3955300 -0.0195100
0.4218300 -0.0185800
0.4483800 -0.0175900
0.4751000 -0.0165700
0.5019300 -0.0155100
0.5287700 -0.0144200
0.5555300 -0.0133100
0.5821500 -0.0121700
0.6085300 -0.0109900
0.6345900 -0.0097700
0.6603000 -0.0084400
0.6856700 -0.0070700
0.7106200 -0.0057000
0.7350700 -0.0043800
0.7589300 -0.0031300
0.7821200 -0.0019700
0.8045700 -0.0009200
0.8261800 0.0000000
0.8468700 0.0007900
0.8665600 0.0014200
0.8851800 0.0019100
0.9026500 0.0022400
0.9188900 0.0024200
0.9338200 0.0024500
0.9473800 0.0023400
0.9595000 0.0021200
0.9701100 0.0018100
0.9791700 0.0014300
0.9866300 0.0010400
0.9924700 0.0006500
0.9966500 0.0003200
0.9991600 0.0000900
1.0000000 0.0000000
