E184  (8.33%)
1.0000000 0.0000000
0.9967600 -0.0001500
0.9870500 -0.0005200
0.9708400 -0.0008600
0.9482300 -0.0007500
0.9196900 0.0002700
0.8859700 0.0024200
0.8478100 0.0056300
0.8058700 0.0098100
0.7608100 0.0148400
0.7133800 0.0205500
0.6642800 0.0267200
0.6142500 0.0330600
0.5640000 0.0390800
0.5138800 0.0443300
0.4642400 0.0485700
0.4153900 0.0515800
0.3676300 0.0532800
0.3212000 0.0536200
0.2763400 0.0527900
0.2335400 0.0510100
0.1932800 0.0483400
0.1559800 0.0449000
0.1220400 0.0407200
0.0917800 0.0359100
0.0655200 0.0305400
0.0434600 0.0247200
0.0258000 0.0185800
0.0126200 0.0122900
0.0039700 0.0062000
0.0001000 0.0009100
0.0018900 -0.0038200
0.0093800 -0.0085400
0.0218800 -0.0130200
0.0393500 -0.0170700
0.0616600 -0.0205800
0.0886900 -0.0235000
0.1202000 -0.0258400
0.1559000 -0.0276000
0.1954400 -0.0288200
0.2384100 -0.0295200
0.2843700 -0.0297600
0.3328000 -0.0295800
0.3831700 -0.0290200
0.4349200 -0.0281400
0.4874700 -0.0269800
0.5402000 -0.0255700
0.5925300 -0.0239600
0.6438700 -0.0221700
0.6936200 -0.0202500
0.7412200 -0.0182300
0.7861200 -0.0161300
0.8278200 -0.0140000
0.8658400 -0.0118500
0.8997300 -0.0097200
0.9291100 -0.0076300
0.9536200 -0.0055500
0.9731300 -0.0034300
0.9876500 -0.0015400
0.9968300 -0.0003600
1.0000000 0.0000000
