AG47c -03f
1.0000940 0.0157730
0.9941710 0.0160000
0.9821840 0.0165180
0.9686480 0.0171090
0.9548190 0.0177170
0.9409500 0.0183220
0.9270800 0.0189230
0.9132110 0.0195150
0.8993420 0.0200930
0.8854760 0.0206470
0.8716090 0.0211830
0.8577480 0.0217030
0.8438890 0.0222090
0.8300330 0.0226990
0.8161790 0.0231740
0.8023230 0.0236280
0.7884720 0.0240680
0.7746210 0.0244880
0.7607720 0.0248900
0.7469240 0.0252760
0.7330760 0.0256380
0.7192270 0.0259820
0.7069350 0.0262670
0.7007890 0.0264040
0.6979990 0.0266110
0.6924190 0.0270220
0.6786080 0.0280230
0.6648000 0.0290000
0.6509970 0.0299500
0.6371880 0.0308740
0.6233830 0.0317720
0.6116950 0.0325130
0.6042580 0.0329720
0.6011890 0.0331590
0.5945190 0.0335620
0.5820390 0.0342960
0.5682820 0.0350760
0.5573450 0.0356750
0.5484900 0.0361440
0.5405550 0.0365540
0.5267990 0.0372390
0.5130460 0.0378900
0.4992700 0.0385080
0.4854790 0.0390920
0.4716980 0.0396380
0.4579280 0.0401460
0.4441530 0.0406150
0.4303820 0.0410440
0.4166160 0.0414340
0.4028470 0.0417790
0.3890820 0.0420830
0.3753240 0.0423400
0.3615700 0.0425540
0.3478170 0.0427170
0.3340730 0.0428300
0.3203370 0.0428910
0.3066060 0.0428970
0.2928860 0.0428470
0.2791770 0.0427360
0.2654710 0.0425620
0.2517810 0.0423200
0.2381100 0.0420090
0.2244470 0.0416230
0.2108070 0.0411560
0.1971930 0.0406060
0.1836000 0.0399640
0.1700490 0.0392260
0.1565310 0.0383840
0.1430650 0.0374270
0.1296600 0.0363450
0.1163220 0.0351220
0.1030870 0.0337390
0.0899640 0.0321710
0.0770060 0.0303880
0.0642450 0.0283420
0.0517880 0.0259740
0.0398080 0.0232090
0.0286840 0.0199980
0.0191600 0.0164660
0.0119960 0.0129860
0.0071740 0.0099150
0.0040600 0.0072990
0.0020770 0.0050200
0.0009020 0.0029970
0.0003290 0.0012420
0.0002540 -0.0002340
0.0006430 -0.0015810
0.0016470 -0.0028800
0.0033510 -0.0040630
0.0058060 -0.0052000
0.0093520 -0.0063690
0.0146520 -0.0076190
0.0225340 -0.0088910
0.0328950 -0.0100060
0.0447920 -0.0108190
0.0574410 -0.0113390
0.0704470 -0.0116350
0.0836640 -0.0117600
0.0970250 -0.0117540
0.1104820 -0.0116510
0.1240130 -0.0114750
0.1376000 -0.0112430
0.1512360 -0.0109650
0.1649090 -0.0106490
0.1786270 -0.0103020
0.1923700 -0.0099300
0.2061390 -0.0095350
0.2199320 -0.0091240
0.2337400 -0.0086970
0.2475620 -0.0082590
0.2614020 -0.0078080
0.2752570 -0.0073500
0.2891270 -0.0068850
0.3030160 -0.0064140
0.3169190 -0.0059370
0.3308340 -0.0054580
0.3447670 -0.0049750
0.3587120 -0.0044900
0.3726700 -0.0040010
0.3866460 -0.0035120
0.4006480 -0.0030200
0.4146650 -0.0025280
0.4286800 -0.0020350
0.4426910 -0.0015440
0.4566970 -0.0010530
0.4707030 -0.0005630
0.4847010 -0.0000730
0.4986950 0.0004160
0.5126890 0.0009030
0.5266840 0.0013900
0.5406740 0.0018750
0.5482320 0.0021380
0.5578340 0.0024670
0.5681410 0.0028230
0.5815940 0.0032830
0.5945590 0.0037270
0.6010420 0.0039490
0.6036100 0.0040360
0.6087440 0.0042120
0.6224370 0.0046760
0.6361270 0.0051360
0.6498040 0.0055930
0.6634790 0.0060450
0.6771460 0.0064950
0.6908060 0.0069410
0.6993790 0.0072160
0.7047950 0.0073900
0.7187020 0.0078370
0.7326020 0.0082750
0.7464910 0.0087080
0.7603760 0.0091340
0.7742570 0.0095550
0.7881400 0.0099690
0.8020260 0.0103740
0.8159200 0.0107720
0.8298060 0.0111620
0.8436910 0.0115450
0.8575860 0.0119180
0.8714710 0.0122810
0.8853550 0.0126390
0.8992410 0.0129890
0.9131180 0.0133250
0.9270010 0.0136500
0.9408740 0.0139670
0.9547460 0.0142780
0.9685950 0.0145740
0.9821980 0.0148130
0.9942110 0.0149960
1.0001490 0.0150810
