E214  (11.1%)
1.0000000 0.0000000
0.9966900 0.0010400
0.9873700 0.0042200
0.9731200 0.0091600
0.9543100 0.0150100
0.9308100 0.0213900
0.9027900 0.0283300
0.8707200 0.0357600
0.8350800 0.0434400
0.7962600 0.0510500
0.7545700 0.0584100
0.7104000 0.0654400
0.6643000 0.0720700
0.6168200 0.0781300
0.5685200 0.0834400
0.5199100 0.0877600
0.4714200 0.0909300
0.4234600 0.0928100
0.3764500 0.0933200
0.3307600 0.0924100
0.2867400 0.0900800
0.2447400 0.0863900
0.2051000 0.0814200
0.1681600 0.0753200
0.1342400 0.0682200
0.1036500 0.0602800
0.0766500 0.0516800
0.0534900 0.0425800
0.0343400 0.0332100
0.0193400 0.0237900
0.0085600 0.0146500
0.0021000 0.0061900
0.0000500 -0.0008600
0.0036000 -0.0063200
0.0132600 -0.0108700
0.0283000 -0.0147500
0.0485800 -0.0178400
0.0739000 -0.0201100
0.1040600 -0.0216100
0.1387400 -0.0223600
0.1775900 -0.0224500
0.2201700 -0.0219300
0.2659900 -0.0208600
0.3144900 -0.0192800
0.3650800 -0.0172100
0.4171400 -0.0145300
0.4703000 -0.0110000
0.5245000 -0.0067800
0.5793200 -0.0024500
0.6340000 0.0015500
0.6877000 0.0049500
0.7395900 0.0075600
0.7888300 0.0092300
0.8346100 0.0099400
0.8761200 0.0097000
0.9126500 0.0086200
0.9435200 0.0068400
0.9680900 0.0046100
0.9858200 0.0023500
0.9964600 0.0006500
1.0000000 0.0000000
