AH 93-K-132/15
1.0000000 0.0007100
0.9789700 0.0019200
0.9631300 0.0035200
0.9452100 0.0057300
0.9264600 0.0083200
0.9074500 0.0111400
0.8885900 0.0140600
0.8706800 0.0171100
0.8538800 0.0208300
0.8373200 0.0257100
0.8200000 0.0316900
0.8018300 0.0381800
0.7835100 0.0447700
0.7653500 0.0513100
0.7475000 0.0574900
0.7298300 0.0631600
0.7121600 0.0682700
0.6943400 0.0728500
0.6762800 0.0769600
0.6580000 0.0806500
0.6395200 0.0839800
0.6208900 0.0869600
0.6021400 0.0896200
0.5833100 0.0919800
0.5644000 0.0940600
0.5454300 0.0958600
0.5264100 0.0973800
0.5073400 0.0986600
0.4882300 0.0996900
0.4691100 0.1004800
0.4499800 0.1010200
0.4308700 0.1013100
0.4117500 0.1013500
0.3926400 0.1011400
0.3735500 0.1006700
0.3544800 0.0999400
0.3354300 0.0989400
0.3164000 0.0976700
0.2974000 0.0961300
0.2784500 0.0943200
0.2595500 0.0922300
0.2407300 0.0898500
0.2220000 0.0871500
0.2033700 0.0841400
0.1848500 0.0807800
0.1664700 0.0770600
0.1482500 0.0729700
0.1302400 0.0684800
0.1124900 0.0635600
0.0950700 0.0581800
0.0780900 0.0523100
0.0617800 0.0459700
0.0465600 0.0391900
0.0330700 0.0322000
0.0221200 0.0254800
0.0140400 0.0195100
0.0084100 0.0144400
0.0045500 0.0101400
0.0019900 0.0063900
0.0004900 0.0030000
0.0000000 0.0000300
0.0006800 -0.0028800
0.0029100 -0.0054200
0.0064500 -0.0076300
0.0113500 -0.0097400
0.0182000 -0.0119400
0.0279200 -0.0143200
0.0413400 -0.0168000
0.0578100 -0.0191800
0.0758100 -0.0212500
0.0945400 -0.0230000
0.1135600 -0.0244400
0.1326700 -0.0256500
0.1518500 -0.0266400
0.1711700 -0.0274500
0.1906200 -0.0281200
0.2101100 -0.0286900
0.2296400 -0.0291500
0.2492500 -0.0295500
0.2688600 -0.0298900
0.2884500 -0.0301600
0.3081000 -0.0303800
0.3277900 -0.0305700
0.3474600 -0.0307300
0.3670800 -0.0308600
0.3867100 -0.0309100
0.4063900 -0.0309300
0.4261100 -0.0309300
0.4458100 -0.0309400
0.4655200 -0.0309600
0.4852000 -0.0309800
0.5048300 -0.0309500
0.5244900 -0.0308700
0.5564400 -0.0307000
0.5763900 -0.0305000
0.5963200 -0.0302500
0.6162400 -0.0299300
0.6361600 -0.0295400
0.6560600 -0.0290900
0.6759500 -0.0285600
0.6958200 -0.0279600
0.7156600 -0.0272600
0.7354600 -0.0264600
0.7552100 -0.0255500
0.7749000 -0.0245200
0.7945200 -0.0233700
0.8139900 -0.0221300
0.8333100 -0.0207800
0.8524100 -0.0193300
0.8700600 -0.0178800
0.8857700 -0.0164600
0.9002300 -0.0150200
0.9139900 -0.0134800
0.9275300 -0.0117700
0.9417100 -0.0096400
0.9564400 -0.0069200
0.9694100 -0.0039800
0.9807400 -0.0018700
0.9914700 -0.0005100
1.0000000 -0.0001400
