AH 88-K-136/16
1.0005800 -0.0001000
0.9994100 0.0001700
0.9974800 0.0006700
0.9942100 0.0014800
0.9893700 0.0025700
0.9826900 0.0038800
0.9739700 0.0053400
0.9631700 0.0069200
0.9501700 0.0085600
0.9349600 0.0102300
0.9177400 0.0119700
0.8988800 0.0138600
0.8790600 0.0160700
0.8593100 0.0188400
0.8428000 0.0203000
0.8251300 0.0268700
0.8100200 0.0318100
0.7953800 0.0371400
0.7805400 0.0427700
0.7647300 0.0485600
0.7474700 0.0544500
0.7284900 0.0603900
0.7075800 0.0663000
0.6845000 0.0720800
0.6590400 0.0776200
0.6309600 0.0827800
0.6001200 0.0874000
0.5665600 0.0913600
0.5306000 0.0945200
0.4927800 0.0968100
0.4537700 0.0981800
0.4142800 0.0985700
0.3750500 0.0979800
0.3368000 0.0964400
0.3002100 0.0940000
0.2657700 0.0907700
0.2337700 0.0868700
0.2042900 0.0824200
0.1773600 0.0775500
0.1529400 0.0723700
0.1309500 0.0670000
0.1112800 0.0615200
0.0937900 0.0560200
0.0783300 0.0505800
0.0647300 0.0452600
0.0528500 0.0401000
0.0425100 0.0351500
0.0335700 0.0304400
0.0258900 0.0260000
0.0193700 0.0218300
0.0139500 0.0179700
0.0095700 0.0144300
0.0061900 0.0112200
0.0037700 0.0083800
0.0021800 0.0059100
0.0012800 0.0038400
0.0008800 0.0021700
0.0008000 0.0009200
0.0008400 0.0000900
0.0009000 -0.0003300
0.0009200 -0.0004200
0.0009800 -0.0007400
0.0011400 -0.0013600
0.0014900 -0.0022900
0.0021400 -0.0035300
0.0032800 -0.0050500
0.0051100 -0.0068400
0.0079100 -0.0088800
0.0120000 -0.0111100
0.0177400 -0.0134800
0.0255300 -0.0159100
0.0357500 -0.0183000
0.0486000 -0.0205400
0.0640400 -0.0225800
0.0818800 -0.0243900
0.1018200 -0.0259800
0.1235100 -0.0273800
0.1465700 -0.0286100
0.1706900 -0.0297300
0.1956800 -0.0307800
0.2214400 -0.0317800
0.2479300 -0.0327400
0.2750900 -0.0336500
0.3028800 -0.0344900
0.3312300 -0.0352500
0.3600700 -0.0359100
0.3893200 -0.0364600
0.4189000 -0.0368800
0.4487200 -0.0371800
0.4786700 -0.0373300
0.5086600 -0.0373500
0.5385900 -0.0372200
0.5683600 -0.0369400
0.5978700 -0.0365200
0.6270200 -0.0359600
0.6556900 -0.0352500
0.6837900 -0.0344000
0.7112000 -0.0334100
0.7378200 -0.0322700
0.7635100 -0.0309600
0.7880600 -0.0294500
0.8112600 -0.0277400
0.8329100 -0.0257900
0.8528700 -0.0236400
0.8710900 -0.0213000
0.8876200 -0.0188600
0.9026000 -0.0163800
0.9162400 -0.0139400
0.9287600 -0.0116300
0.9403200 -0.0094900
0.9509900 -0.0075600
0.9608000 -0.0058600
0.9697700 -0.0044100
0.9779800 -0.0032500
0.9853400 -0.0023700
0.9914200 -0.0016700
0.9958100 -0.0010500
0.9985600 -0.0005400
1.0000800 -0.0002100
1.0005800 -0.0001000
