AG45c -03f
1.0000860 0.0159220
0.9941380 0.0163170
0.9820990 0.0171500
0.9685070 0.0180920
0.9546150 0.0190180
0.9406840 0.0199410
0.9267510 0.0208520
0.9128170 0.0217560
0.8988840 0.0226510
0.8849540 0.0235320
0.8710230 0.0243970
0.8570960 0.0252450
0.8431730 0.0260730
0.8292500 0.0268830
0.8153280 0.0276720
0.8014050 0.0284400
0.7874860 0.0291880
0.7735650 0.0299170
0.7596460 0.0306270
0.7457260 0.0313160
0.7318070 0.0319880
0.7178840 0.0326440
0.7070740 0.0331410
0.7034600 0.0333110
0.7016520 0.0333950
0.6982060 0.0337240
0.6913140 0.0343940
0.6774460 0.0357330
0.6635810 0.0370530
0.6567620 0.0376940
0.6465410 0.0386460
0.6358570 0.0396270
0.6219940 0.0408790
0.6058690 0.0423020
0.5942950 0.0432990
0.5804760 0.0444620
0.5666590 0.0455960
0.5556730 0.0464760
0.5467790 0.0471730
0.5388100 0.0477860
0.5249910 0.0488220
0.5111760 0.0498220
0.4973360 0.0507880
0.4834800 0.0517150
0.4696330 0.0526020
0.4557970 0.0534470
0.4419540 0.0542500
0.4281140 0.0550080
0.4142790 0.0557210
0.4004400 0.0563780
0.3866040 0.0569670
0.3727720 0.0574840
0.3589420 0.0579290
0.3451110 0.0582980
0.3312870 0.0585890
0.3174700 0.0587970
0.3036560 0.0589140
0.2898530 0.0589390
0.2760600 0.0588640
0.2622710 0.0586830
0.2484980 0.0583890
0.2347460 0.0579760
0.2210050 0.0574350
0.2072910 0.0567580
0.1936070 0.0559370
0.1799510 0.0549590
0.1663460 0.0538140
0.1527850 0.0524850
0.1392900 0.0509580
0.1258750 0.0492150
0.1125490 0.0472310
0.0993550 0.0449840
0.0863100 0.0424350
0.0734760 0.0395460
0.0608990 0.0362640
0.0487060 0.0325330
0.0370850 0.0283140
0.0264240 0.0236420
0.0174220 0.0187940
0.0107760 0.0143250
0.0064020 0.0106220
0.0036290 0.0076400
0.0018770 0.0051780
0.0008300 0.0030850
0.0003230 0.0013040
0.0002500 -0.0001780
0.0005810 -0.0015430
0.0014790 -0.0029170
0.0030950 -0.0042140
0.0054820 -0.0054870
0.0089630 -0.0068390
0.0141980 -0.0083450
0.0220170 -0.0099700
0.0323330 -0.0114780
0.0442040 -0.0126700
0.0568450 -0.0135150
0.0698530 -0.0140710
0.0830760 -0.0143990
0.0964460 -0.0145580
0.1099140 -0.0145810
0.1234570 -0.0144920
0.1370570 -0.0143070
0.1507050 -0.0140410
0.1643840 -0.0137070
0.1780990 -0.0133140
0.1918350 -0.0128720
0.2055920 -0.0123890
0.2193780 -0.0118850
0.2331980 -0.0113740
0.2470420 -0.0108590
0.2609190 -0.0103380
0.2748290 -0.0098110
0.2887700 -0.0092790
0.3027390 -0.0087430
0.3167290 -0.0082030
0.3307330 -0.0076590
0.3447570 -0.0071120
0.3587910 -0.0065610
0.3728330 -0.0060090
0.3868910 -0.0054530
0.4009680 -0.0048950
0.4150560 -0.0043350
0.4291380 -0.0037750
0.4432100 -0.0032140
0.4572700 -0.0026530
0.4713260 -0.0020910
0.4853720 -0.0015310
0.4994040 -0.0009710
0.5134290 -0.0004120
0.5274480 0.0001460
0.5414610 0.0007030
0.5490290 0.0010030
0.5586420 0.0013830
0.5689570 0.0017910
0.5824140 0.0023210
0.5955870 0.0028370
0.6094780 0.0033800
0.6230730 0.0039080
0.6366680 0.0044330
0.6462500 0.0048010
0.6552660 0.0051470
0.6638660 0.0054740
0.6775340 0.0059920
0.6911970 0.0065060
0.6970890 0.0067270
0.7000900 0.0068390
0.7064640 0.0070750
0.7189920 0.0075390
0.7328620 0.0080470
0.7467210 0.0085490
0.7605680 0.0090470
0.7744170 0.0095380
0.7882650 0.0100230
0.8021170 0.0105030
0.8159740 0.0109770
0.8298320 0.0114400
0.8436920 0.0118820
0.8575610 0.0123060
0.8714280 0.0127080
0.8852970 0.0130840
0.8991750 0.0134450
0.9130510 0.0137730
0.9269330 0.0140760
0.9408160 0.0143420
0.9547030 0.0145710
0.9685660 0.0147610
0.9821840 0.0148900
0.9942080 0.0149780
1.0001520 0.0150290
