S1210 12%
1.0000000 0.0000000
0.9983700 0.0010100
0.9939800 0.0039700
0.9875300 0.0083200
0.9790800 0.0131700
0.9681100 0.0181100
0.9543700 0.0232800
0.9379600 0.0287400
0.9189800 0.0344300
0.8975400 0.0403200
0.8737600 0.0463700
0.8477900 0.0525400
0.8198000 0.0587900
0.7899700 0.0650600
0.7585100 0.0713000
0.7256100 0.0774700
0.6915100 0.0834900
0.6564200 0.0893200
0.6205800 0.0949000
0.5842300 0.1001600
0.5476300 0.1050500
0.5110500 0.1094800
0.4747300 0.1133500
0.4389100 0.1165300
0.4037800 0.1189200
0.3695500 0.1204600
0.3365200 0.1209100
0.3045600 0.1200000
0.2734700 0.1178400
0.2434100 0.1146200
0.2144500 0.1104700
0.1868100 0.1055600
0.1606900 0.0999400
0.1362200 0.0936200
0.1135100 0.0867200
0.0926900 0.0793200
0.0738800 0.0714900
0.0571900 0.0633200
0.0428200 0.0548400
0.0306800 0.0459300
0.0205400 0.0367200
0.0123900 0.0275500
0.0062600 0.0186600
0.0021700 0.0103000
0.0001600 0.0027700
0.0002300 -0.0034500
0.0033700 -0.0077300
0.0103400 -0.0107000
0.0207100 -0.0132400
0.0341700 -0.0152900
0.0505200 -0.0168500
0.0695900 -0.0178600
0.0911800 -0.0183000
0.1151200 -0.0181000
0.1411900 -0.0171500
0.1691100 -0.0152400
0.1990600 -0.0118300
0.2315700 -0.0069700
0.2667000 -0.0012400
0.3042700 0.0050400
0.3440400 0.0115800
0.3857500 0.0181400
0.4290900 0.0244600
0.4737000 0.0303200
0.5191900 0.0355100
0.5651500 0.0398600
0.6111300 0.0432000
0.6566600 0.0454300
0.7012700 0.0464600
0.7444600 0.0462500
0.7857500 0.0447900
0.8246500 0.0421400
0.8607100 0.0383700
0.8934900 0.0336400
0.9225500 0.0280900
0.9475400 0.0219200
0.9679100 0.0153000
0.9829900 0.0089000
0.9928400 0.0039000
0.9982800 0.0009500
1.0000000 0.0000000
