S8036 (16%)
1.0000000 0.0000000
0.9975900 0.0004600
0.9909500 0.0021700
0.9810500 0.0050100
0.9682700 0.0084300
0.9524700 0.0120400
0.9335400 0.0159400
0.9116300 0.0202700
0.8869700 0.0250500
0.8598400 0.0302700
0.8304700 0.0359000
0.7991600 0.0418900
0.7661800 0.0481600
0.7318300 0.0546300
0.6964100 0.0611900
0.6602200 0.0677100
0.6235700 0.0740200
0.5866800 0.0798600
0.5496900 0.0850900
0.5127900 0.0896300
0.4761100 0.0932800
0.4397200 0.0959800
0.4038100 0.0977600
0.3684800 0.0985300
0.3338000 0.0983800
0.2999900 0.0973500
0.2672200 0.0954700
0.2356400 0.0928000
0.2054500 0.0893900
0.1768100 0.0852800
0.1498800 0.0805300
0.1248400 0.0752000
0.1018400 0.0693400
0.0810400 0.0629600
0.0625100 0.0561000
0.0463800 0.0488500
0.0327100 0.0411500
0.0214100 0.0330500
0.0125600 0.0248300
0.0061200 0.0164900
0.0019300 0.0082300
0.0000100 0.0005400
0.0009800 -0.0058800
0.0054800 -0.0115300
0.0133800 -0.0172000
0.0243300 -0.0227300
0.0381100 -0.0280400
0.0546800 -0.0330400
0.0739500 -0.0377300
0.0957600 -0.0420800
0.1199900 -0.0460500
0.1464800 -0.0496400
0.1750400 -0.0528300
0.2054900 -0.0555800
0.2376000 -0.0578600
0.2712000 -0.0596200
0.3060900 -0.0608400
0.3420400 -0.0614600
0.3788700 -0.0614700
0.4163800 -0.0608700
0.4543500 -0.0595900
0.4926500 -0.0576500
0.5309900 -0.0550200
0.5693700 -0.0516500
0.6077800 -0.0477200
0.6459400 -0.0434800
0.6835900 -0.0390700
0.7204300 -0.0346400
0.7561600 -0.0302800
0.7904800 -0.0260900
0.8230900 -0.0221500
0.8537000 -0.0185200
0.8820200 -0.0152300
0.9077500 -0.0123000
0.9306400 -0.0097000
0.9504400 -0.0073900
0.9669800 -0.0051900
0.9803700 -0.0030200
0.9907000 -0.0012000
0.9975400 -0.0002000
1.0000000 0.0000000
