SD7090 (10%)
1.0000000 0.0000000
0.9965500 0.0005000
0.9866400 0.0021900
0.9711300 0.0051200
0.9506200 0.0088200
0.9252200 0.0128400
0.8950000 0.0171800
0.8603600 0.0218800
0.8217600 0.0269100
0.7797200 0.0321800
0.7347900 0.0376000
0.6875400 0.0430400
0.6386000 0.0483400
0.5885000 0.0532900
0.5377700 0.0577300
0.4869200 0.0615300
0.4364900 0.0645700
0.3869900 0.0667400
0.3389000 0.0679500
0.2926900 0.0681400
0.2487800 0.0672400
0.2075900 0.0652200
0.1694500 0.0620600
0.1346700 0.0578000
0.1035200 0.0524900
0.0762400 0.0462100
0.0529700 0.0390700
0.0338400 0.0312500
0.0189100 0.0229800
0.0082700 0.0145800
0.0019600 0.0063700
0.0000500 -0.0009700
0.0034500 -0.0073400
0.0123800 -0.0131800
0.0262400 -0.0183400
0.0451400 -0.0226200
0.0690300 -0.0260500
0.0977100 -0.0287300
0.1308700 -0.0306700
0.1681700 -0.0318800
0.2092600 -0.0324000
0.2537100 -0.0322900
0.3010600 -0.0316100
0.3507700 -0.0304600
0.4022700 -0.0288900
0.4549900 -0.0269600
0.5083200 -0.0247200
0.5616600 -0.0222100
0.6144200 -0.0194800
0.6660500 -0.0165800
0.7160500 -0.0136300
0.7638100 -0.0108300
0.8086900 -0.0082900
0.8500700 -0.0060900
0.8873500 -0.0042600
0.9200100 -0.0027900
0.9475700 -0.0016000
0.9697400 -0.0006600
0.9862200 -0.0000900
0.9965000 0.0000400
1.0000100 0.0000000
