SD7062 (14%)
1.0000000 0.0000000
0.9965200 0.0005700
0.9863400 0.0024200
0.9700400 0.0057100
0.9481800 0.0103600
0.9212700 0.0161500
0.8896700 0.0228900
0.8538100 0.0304900
0.8142700 0.0388500
0.7716600 0.0477800
0.7266200 0.0570200
0.6797300 0.0662600
0.6315400 0.0751700
0.5825400 0.0834700
0.5332200 0.0908900
0.4840200 0.0972300
0.4354000 0.1022900
0.3877900 0.1059200
0.3415900 0.1080100
0.2972000 0.1084600
0.2549600 0.1072200
0.2152100 0.1042800
0.1782500 0.0996500
0.1443200 0.0934000
0.1136300 0.0856200
0.0863700 0.0764700
0.0626900 0.0661600
0.0427200 0.0549100
0.0265000 0.0430000
0.0141000 0.0308100
0.0056200 0.0187100
0.0010300 0.0071100
0.0002700 -0.0032700
0.0042500 -0.0111500
0.0141400 -0.0170100
0.0299100 -0.0220500
0.0509900 -0.0262300
0.0771000 -0.0294800
0.1079800 -0.0317900
0.1432800 -0.0331900
0.1826500 -0.0336700
0.2257000 -0.0332700
0.2719900 -0.0320600
0.3210500 -0.0301000
0.3723800 -0.0274700
0.4254700 -0.0242600
0.4797900 -0.0206400
0.5347700 -0.0168000
0.5897500 -0.0129500
0.6440300 -0.0092700
0.6969200 -0.0059300
0.7476800 -0.0030700
0.7955700 -0.0007900
0.8399000 0.0008700
0.8799800 0.0018900
0.9151800 0.0023000
0.9449100 0.0021600
0.9686400 0.0016300
0.9859300 0.0009200
0.9964600 0.0002700
1.0000100 0.0000000
